Unknown,"BXP,"Boston
Unknown,"F5,"Seattle
Unknown,"Nasdaq,"New York City
Unknown,"Nike, Accessories & Luxury Goods"
Unknown,"NVR,"Reston
Unknown,"Rollins,"Atlanta
Unknown,"Tapestry, Accessories & Luxury Goods"
Unknown,"Tesla,"Austin
Unknown,"UDR,"Highlands Ranch
Unknown,"Williams-Sonoma,"San Francisco
Unknown,"Workday,"Pleasanton
Unknown,Airbnb,"San Francisco
Unknown,Amcor, Bristol
Unknown,Apple Inc.,"Cupertino
Unknown,Ball Corporation,"Broomfield
Unknown,Booking Holdings,"Norwalk
Unknown,Carnival Corporation,"Miami
Unknown,Dell Technologies,"Round Rock
Unknown,Expedia Group,"Seattle
Unknown,Hewlett Packard Enterprise,"Houston
Unknown,Hilton Worldwide,"Tysons Corner
Unknown,HP Inc.,"Palo Alto
Unknown,Huntington Bancshares, Ohio; Detroit
Unknown,Kraft Heinz, Illinois; Pittsburgh
Unknown,Lululemon Athletica,"Vancouver
Unknown,Marriott International,"Bethesda
Unknown,NetApp,"San Jose
Unknown,Norwegian Cruise Line Holdings,"Miami-Dade County
Unknown,Ralph Lauren Corporation,"New York City
Unknown,Royal Caribbean Group,"Miami
Unknown,Sandisk,"Milpitas
Unknown,Seagate Technology,"Dublin
Unknown,Supermicro,"San Jose
Unknown,Western Digital,"San Jose
1957,3M, Minnesota"
1957,Abbott Laboratories, Illinois"
1957,Altria, Virginia"
1957,American Electric Power, Ohio"
1957,Archer Daniels Midland, Illinois"
1957,Boeing, Virginia"
1957,Bristol Myers Squibb, New York"
1957,Caterpillar Inc., Texas"
1957,Chevron Corporation, Texas"
1957,CMS Energy, Michigan"
1957,Coca-Cola Company (The), Georgia"
1957,Colgate-Palmolive, New York"
1957,ConocoPhillips, Texas"
1957,Consolidated Edison, New York"
1957,CSX Corporation, Florida"
1957,CVS Health, Rhode Island"
1957,Deere & Company, Illinois"
1957,DTE Energy, Michigan"
1957,Eaton Corporation, Ireland"
1957,Edison International, California"
1957,Entergy, Louisiana"
1957,Exelon, Illinois"
1957,ExxonMobil, Texas"
1957,Ford Motor Company, Michigan"
1957,GE Aerospace, Ohio"
1957,General Dynamics, Virginia"
1957,General Mills, Minnesota"
1957,Halliburton, Texas"
1957,Hartford (The), Connecticut"
1957,Hershey Company (The), Pennsylvania"
1957,Honeywell Technologies, North Carolina"
1957,IBM, New York"
1957,International Paper, Tennessee"
1957,Kimberly-Clark, Texas"
1957,Kroger, Ohio"
1957,Lockheed Martin, Maryland"
1957,Merck & Co., New Jersey"
1957,Motorola Solutions, Illinois"
1957,Norfolk Southern, Georgia"
1957,Northrop Grumman, Virginia[2]"
1957,Occidental Petroleum, Texas"
1957,PepsiCo, New York"
1957,Pfizer, New York"
1957,PPG Industries, Pennsylvania"
1957,Procter & Gamble, Ohio"
1957,Public Service Enterprise Group, New Jersey"
1957,RTX Corporation, Massachusetts"
1957,S&P Global, New York"
1957,Schlumberger, Texas"
1957,Southern Company, Georgia"
1957,Union Pacific Corporation, Nebraska"
1957,Xcel Energy, Minnesota"
1964,Sherwin-Williams, Ohio"
1965,Cummins, Indiana"
1965,Emerson Electric, Missouri"
1969,Clorox, California"
1969,Newmont, Colorado"
1970,Lilly (Eli), Indiana"
1970,McDonald's, Illinois"
1972,Baxter International, Illinois"
1972,Becton Dickinson, New Jersey"
1973,Genuine Parts Company, Georgia"
1973,Johnson & Johnson, New Jersey"
1975,JPMorgan Chase, New York"
1975,Williams Companies, Oklahoma"
1976,American Express, New York"
1976,Bank of America, North Carolina"
1976,Cigna, Connecticut"
1976,Duke Energy, North Carolina"
1976,Intel, California"
1976,International Flavors & Fragrances, New York"
1976,Molson Coors Beverage Company, Illinois"
1976,NextEra Energy, Florida"
1976,Target Corporation, Minnesota"
1976,Walt Disney Company (The), California"
1976,Wells Fargo, California"
1978,Textron, Rhode Island"
1979,Weyerhaeuser, Washington"
1980,American International Group, New York"
1980,FedEx, Tennessee"
1980,Paccar, Washington"
1981,Automatic Data Processing, New Jersey"
1981,Masco, Michigan"
1981,W. W. Grainger, Illinois"
1982,Brown–Forman, Kentucky"
1982,Snap-on, Wisconsin"
1982,Stanley Black & Decker, Connecticut"
1982,Walmart, Arkansas"
1983,AT&T, Texas"
1983,Verizon, New York"
1984,Hasbro, Rhode Island"
1984,Lowe's, North Carolina"
1984,PulteGroup, Georgia"
1985,Air Products, Pennsylvania"
1985,CenterPoint Energy, Texas"
1985,Dover Corporation, Illinois"
1985,Nucor, North Carolina"
1985,Parker Hannifin, Ohio"
1985,Revvity, Massachusetts"
1985,TJX Companies, Massachusetts"
1986,Illinois Tool Works, Illinois"
1986,Medtronic, Ireland"
1986,Sysco, Texas"
1987,Avery Dennison, Ohio"
1987,Marsh McLennan, New York"
1988,Citigroup, New York"
1988,Home Depot (The), Georgia"
1988,PNC Financial Services, Pennsylvania"
1989,Autodesk, California"
1989,Ecolab, Minnesota"
1989,Globe Life, Texas"
1989,Oracle Corporation, Texas"
1991,Ameren, Missouri"
1992,Amgen, California"
1992,Linde plc, United Kingdom"
1993,Cisco, California"
1993,Costco, Washington"
1993,Morgan Stanley, New York"
1994,KeyCorp, Ohio"
1994,Micron Technology, Idaho"
1994,Microsoft, Washington"
1994,Paramount Skydance Corporation, California"
1994,Southwest Airlines, Texas"
1994,UnitedHealth Group, Minnesota"
1995,Allstate, Illinois"
1995,Applied Materials, California"
1995,BNY Mellon, New York"
1995,Boston Scientific, Massachusetts"
1995,Corning Inc., New York"
1995,Darden Restaurants, Florida"
1995,Loews Corporation, New York"
1996,Aon plc, United Kingdom"
1996,Fifth Third Bancorp, Ohio"
1997,Adobe Inc., California"
1997,APA Corporation, Texas"
1997,AutoZone, Tennessee"
1997,Cardinal Health, Ohio"
1997,Charles Schwab Corporation, Texas"
1997,Cincinnati Financial, Ohio"
1997,Equifax, Georgia"
1997,FirstEnergy, Ohio"
1997,KLA Corporation, California"
1997,Omnicom Group, New York"
1997,Progressive Corporation, Ohio"
1997,Truist Financial, North Carolina"
1997,Yum! Brands, Kentucky"
1998,AES Corporation, Virginia"
1998,Capital One, Virginia"
1998,Danaher Corporation, D.C."
1998,Franklin Resources, California"
1998,Moody's Corporation, New York"
1998,Northern Trust, Illinois"
1998,Paychex, New York"
1998,Regions Financial Corporation, Alabama"
1998,Waste Management, Texas"
1999,Aflac, Georgia"
1999,Analog Devices, Massachusetts"
1999,Best Buy, Minnesota"
1999,McKesson Corporation, Texas"
1999,Pinnacle West Capital, Arizona"
1999,Qualcomm, California"
1999,U.S. Bancorp, Minnesota"
1999,Vulcan Materials Company, Alabama"
2000,Agilent Technologies, California"
